"","File","RelativePath","Folder","Date","Time","ImageQuality","DeleteFlag","Note","Chamber_1","Chamber_2","Chamber_3","Chamber_4","Frame","datetime"
"152","Affiliation 20191213 01___2019-12-13_09-51-24-5862-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:51:26","Ok",FALSE,"","Right","Right","Right","Left",152,2019-12-13 09:51:26
"153","Affiliation 20191213 01___2019-12-13_09-51-29-5614-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:51:30","Ok",FALSE,"","Right","Right","Right","Neutral",153,2019-12-13 09:51:30
"154","Affiliation 20191213 01___2019-12-13_09-51-34-5517-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:51:36","Ok",FALSE,"","Right","Right","Right","Right",154,2019-12-13 09:51:36
"155","Affiliation 20191213 01___2019-12-13_09-51-39-5750-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:51:40","Ok",FALSE,"","Right","Right","Right","Right",155,2019-12-13 09:51:40
"156","Affiliation 20191213 01___2019-12-13_09-51-44-5543-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:51:46","Ok",FALSE,"","Right","Right","Right","Neutral",156,2019-12-13 09:51:46
"157","Affiliation 20191213 01___2019-12-13_09-51-49-5456-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:51:50","Ok",FALSE,"","Right","Right","Right","Right",157,2019-12-13 09:51:50
"158","Affiliation 20191213 01___2019-12-13_09-51-54-5689-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:51:56","Ok",FALSE,"","Right","Right","Left","Neutral",158,2019-12-13 09:51:56
"159","Affiliation 20191213 01___2019-12-13_09-51-59-5452-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:52:00","Ok",FALSE,"","Right","Right","Left","Left",159,2019-12-13 09:52:00
"160","Affiliation 20191213 01___2019-12-13_09-52-04-5664-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:52:06","Ok",FALSE,"","Right","Neutral","Left","Right",160,2019-12-13 09:52:06
"161","Affiliation 20191213 01___2019-12-13_09-52-09-5617-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:52:10","Ok",FALSE,"","Right","Neutral","Left","Neutral",161,2019-12-13 09:52:10
"162","Affiliation 20191213 01___2019-12-13_09-52-14-5670-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:52:16","Ok",FALSE,"","Right","Right","Left","Left",162,2019-12-13 09:52:16
"163","Affiliation 20191213 01___2019-12-13_09-52-19-5583-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:52:20","Ok",FALSE,"","Right","Right","Left","Right",163,2019-12-13 09:52:20
"164","Affiliation 20191213 01___2019-12-13_09-52-24-5526-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:52:26","Ok",FALSE,"","Right","Right","Left","Neutral",164,2019-12-13 09:52:26
"165","Affiliation 20191213 01___2019-12-13_09-52-29-5599-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:52:30","Ok",FALSE,"","Right","Right","Neutral","Left",165,2019-12-13 09:52:30
"166","Affiliation 20191213 01___2019-12-13_09-52-34-5512-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:52:36","Ok",FALSE,"","Right","Right","Right","Left",166,2019-12-13 09:52:36
"167","Affiliation 20191213 01___2019-12-13_09-52-39-5744-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:52:40","Ok",FALSE,"","Right","Left","Neutral","Right",167,2019-12-13 09:52:40
"168","Affiliation 20191213 01___2019-12-13_09-52-44-5537-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:52:46","Ok",FALSE,"","Right","Left","Left","Right",168,2019-12-13 09:52:46
"169","Affiliation 20191213 01___2019-12-13_09-52-49-5750-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:52:50","Ok",FALSE,"","Right","Left","Left","Right",169,2019-12-13 09:52:50
"170","Affiliation 20191213 01___2019-12-13_09-52-54-5733-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:52:56","Ok",FALSE,"","Right","Right","Left","Left",170,2019-12-13 09:52:56
"171","Affiliation 20191213 01___2019-12-13_09-52-59-5806-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:53:00","Ok",FALSE,"","Right","Right","Left","Left",171,2019-12-13 09:53:00
"172","Affiliation 20191213 01___2019-12-13_09-53-04-5669-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:53:06","Ok",FALSE,"","Right","Right","Right","Left",172,2019-12-13 09:53:06
"173","Affiliation 20191213 01___2019-12-13_09-53-09-5612-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:53:10","Ok",FALSE,"","Right","Right","Left","Left",173,2019-12-13 09:53:10
"174","Affiliation 20191213 01___2019-12-13_09-53-14-5664-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:53:16","Ok",FALSE,"","Right","Right","Left","Left",174,2019-12-13 09:53:16
"175","Affiliation 20191213 01___2019-12-13_09-53-19-5587-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:53:20","Ok",FALSE,"","Right","Right","Left","Neutral",175,2019-12-13 09:53:20
"176","Affiliation 20191213 01___2019-12-13_09-53-24-5530-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:53:26","Ok",FALSE,"","Right","Right","Left","Left",176,2019-12-13 09:53:26
"177","Affiliation 20191213 01___2019-12-13_09-53-29-5593-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:53:30","Ok",FALSE,"","Right","Right","Left","Left",177,2019-12-13 09:53:30
"178","Affiliation 20191213 01___2019-12-13_09-53-34-5506-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:53:36","Ok",FALSE,"","Right","Neutral","Left","Right",178,2019-12-13 09:53:36
"179","Affiliation 20191213 01___2019-12-13_09-53-39-5739-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:53:40","Ok",FALSE,"","Right","Right","Left","Left",179,2019-12-13 09:53:40
"180","Affiliation 20191213 01___2019-12-13_09-53-44-5532-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:53:46","Ok",FALSE,"","Right","Right","Left","Right",180,2019-12-13 09:53:46
"181","Affiliation 20191213 01___2019-12-13_09-53-49-5734-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:53:50","Ok",FALSE,"","Right","Right","Right","Right",181,2019-12-13 09:53:50
"182","Affiliation 20191213 01___2019-12-13_09-53-54-5687-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:53:56","Ok",FALSE,"","Right","Right","Right","Left",182,2019-12-13 09:53:56
"183","Affiliation 20191213 01___2019-12-13_09-53-59-5910-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:54:00","Ok",FALSE,"","Right","Right","Right","Left",183,2019-12-13 09:54:00
"184","Affiliation 20191213 01___2019-12-13_09-54-04-5683-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:54:06","Ok",FALSE,"","Right","Right","Right","Right",184,2019-12-13 09:54:06
"185","Affiliation 20191213 01___2019-12-13_09-54-09-5576-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:54:10","Ok",FALSE,"","Right","Right","Left","Left",185,2019-12-13 09:54:10
"186","Affiliation 20191213 01___2019-12-13_09-54-14-5819-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:54:16","Ok",FALSE,"","Right","Right","Left","Left",186,2019-12-13 09:54:16
"187","Affiliation 20191213 01___2019-12-13_09-54-19-5602-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:54:20","Ok",FALSE,"","Right","Right","Left","Neutral",187,2019-12-13 09:54:20
"188","Affiliation 20191213 01___2019-12-13_09-54-24-5845-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:54:26","Ok",FALSE,"","Right","Right","Left","Left",188,2019-12-13 09:54:26
"189","Affiliation 20191213 01___2019-12-13_09-54-29-5767-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:54:30","Ok",FALSE,"","Right","Right","Right","Left",189,2019-12-13 09:54:30
"190","Affiliation 20191213 01___2019-12-13_09-54-34-5850-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:54:36","Ok",FALSE,"","Right","Right","Right","Left",190,2019-12-13 09:54:36
"191","Affiliation 20191213 01___2019-12-13_09-54-39-5763-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:54:40","Ok",FALSE,"","Right","Right","Right","Left",191,2019-12-13 09:54:40
"192","Affiliation 20191213 01___2019-12-13_09-54-44-6006-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:54:46","Ok",FALSE,"","Left","Right","Left","Right",192,2019-12-13 09:54:46
"193","Affiliation 20191213 01___2019-12-13_09-54-49-5739-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:54:50","Ok",FALSE,"","Left","Right","Left","Left",193,2019-12-13 09:54:50
"194","Affiliation 20191213 01___2019-12-13_09-54-54-5722-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:54:56","Ok",FALSE,"","Left","Right","Right","Left",194,2019-12-13 09:54:56
"195","Affiliation 20191213 01___2019-12-13_09-54-59-5905-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:55:00","Ok",FALSE,"","Left","Right","Right","Right",195,2019-12-13 09:55:00
"196","Affiliation 20191213 01___2019-12-13_09-55-04-5687-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:55:06","Ok",FALSE,"","Right","Right","Right","Right",196,2019-12-13 09:55:06
"197","Affiliation 20191213 01___2019-12-13_09-55-09-5570-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:55:10","Ok",FALSE,"","Right","Right","Right","Right",197,2019-12-13 09:55:10
"198","Affiliation 20191213 01___2019-12-13_09-55-14-5813-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:55:16","Ok",FALSE,"","Left","Right","Right","Right",198,2019-12-13 09:55:16
"199","Affiliation 20191213 01___2019-12-13_09-55-19-5596-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:55:20","Ok",FALSE,"","Left","Right","Neutral","Right",199,2019-12-13 09:55:20
"200","Affiliation 20191213 01___2019-12-13_09-55-24-5819-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:55:26","Ok",FALSE,"","Left","Right","Left","Neutral",200,2019-12-13 09:55:26
"201","Affiliation 20191213 01___2019-12-13_09-55-29-5762-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:55:30","Ok",FALSE,"","Left","Right","Neutral","Neutral",201,2019-12-13 09:55:30
"202","Affiliation 20191213 01___2019-12-13_09-55-34-5805-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:55:36","Ok",FALSE,"","Left","Right","Right","Right",202,2019-12-13 09:55:36
"203","Affiliation 20191213 01___2019-12-13_09-55-39-5747-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:55:40","Ok",FALSE,"","Left","Right","Right","Right",203,2019-12-13 09:55:40
"204","Affiliation 20191213 01___2019-12-13_09-55-44-5650-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:55:46","Ok",FALSE,"","Left","Neutral","Left","Unknown",204,2019-12-13 09:55:46
"205","Affiliation 20191213 01___2019-12-13_09-55-49-5733-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:55:50","Ok",FALSE,"","Left","Left","Left","Right",205,2019-12-13 09:55:50
"206","Affiliation 20191213 01___2019-12-13_09-55-54-5656-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:55:56","Ok",FALSE,"","Left","Left","Right","Right",206,2019-12-13 09:55:56
"207","Affiliation 20191213 01___2019-12-13_09-55-59-5909-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:56:00","Ok",FALSE,"","Left","Left","Right","Right",207,2019-12-13 09:56:00
